track_id_atualizado,track_name_clean,artist_s__name_clean,count_songs,artist_count,data_de_lancamento,streams,in_spotify_charts,in_spotify_playlists,in_apple_charts,in_apple_playlists,in_deezer_charts,in_deezer_playlists,total_participation_in_playlist,bpm,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__,terciles_streams,categoria_streams,terciles_bpm,categoria_bpm,terciles_danceability,categoria_danceability,terciles_valence,categoria_valence,terciles_energy,categoria_energy,terciles_acousticness,categoria_acousticness,terciles_instrumentalness,categoria_instrumentalness,terciles_liveness,categoria_liveness,terciles_speechiness,categoria_speechiness
7750995,505,arctic monkeys,4,1,2007-04-20,1217120710,25,13985,80,30,1,588,14603,140,52,20,85,0,0,7,5,3,alto,3,alto,1,baixo,1,baixo,3,alto,1,baixo,1,baixo,1,baixo,2,medio
4311407,snooze,sza,19,1,2022-12-09,399686758,25,2839,156,58,1,42,2939,143,56,39,55,14,0,11,13,2,medio,3,alto,1,baixo,1,baixo,1,baixo,2,medio,2,medio,2,medio,3,alto
2664577,do i wanna know,arctic monkeys,4,1,2013-01-01,1788326445,26,33783,92,133,1,2733,36649,85,55,42,53,17,0,22,3,3,alto,1,baixo,1,baixo,2,medio,1,baixo,2,medio,2,medio,3,alto,1,baixo
7510507,sabor fresa,fuerza regida,2,1,2023-06-22,78300654,26,250,149,16,5,10,276,130,79,96,86,9,0,9,9,1,baixo,2,medio,3,alto,3,alto,3,alto,2,medio,1,baixo,1,baixo,3,alto
3153550,under the influence,chris brown,1,1,2019-10-04,929964809,26,3859,181,133,0,3,3995,117,73,31,69,6,0,11,4,3,alto,2,medio,2,medio,1,baixo,2,medio,1,baixo,1,baixo,2,medio,1,baixo
2670198,the real slim shady,eminem,4,1,2000-01-01,1424589568,27,20763,53,81,1,3271,24115,104,95,78,66,3,0,4,6,3,alto,1,baixo,3,alto,3,alto,2,medio,1,baixo,1,baixo,1,baixo,2,medio
2437608,omg,newjeans,6,1,2023-01-02,430977451,27,1783,124,26,1,15,1824,127,80,74,77,36,0,11,4,2,medio,2,medio,3,alto,3,alto,3,alto,3,alto,2,medio,2,medio,1,baixo
2698226,primera cita,carin leon,1,1,2022-04-20,77309611,27,266,40,6,6,6,278,158,54,50,40,61,0,10,6,1,baixo,3,alto,1,baixo,2,medio,1,baixo,3,alto,1,baixo,1,baixo,2,medio
4890651,nonsense,sabrina carpenter,1,1,2022-07-15,342897938,27,2346,12,69,8,38,2453,139,74,68,68,3,0,26,4,2,medio,3,alto,2,medio,3,alto,2,medio,1,baixo,2,medio,3,alto,2,medio
2166194,un coco,bad bunny,19,1,2022-05-06,403231558,28,1029,28,5,0,9,1043,152,84,74,69,21,0,18,6,2,medio,3,alto,3,alto,3,alto,2,medio,2,medio,2,medio,3,alto,2,medio
