artist_s__name_clean,total_musicas,total_streams
bizarrap villano antillano,1,248511839
offset jid,1,24975653
kevin gates juicy j,1,109091573
24kgoldn iann dior,1,1699402402
jack harlow lil nas x,1,1814349763
labrinth zendaya,1,426204830
tisto kar,1,566954746
cherish acraze,1,674772936
gwen stefani blake shelton,1,180577478
anuel aa jhay cortez,1,355219175
yandel feid,2,632789310
twisted oliver tree,1,213438580
marlia mendona maiara ,1,258316038
trueno tiago pzk,1,261414174
marlia mendona george henrique ,1,263894529
alvaro diaz rauw alejandro,1,209768491
marshmello juice wrld,1,84697729
taylor swift lana del rey,1,323437194
ed sheeran j balvin,1,106933107
eminem dido,1,918915401
sean paul dua lipa,1,956865266
ed sheeran elton john,1,135723538
elton john britney spears,1,284216603
the weeknd post malone,1,539595276
stephanie beatriz diane guerrero,1,154797871
feid paulo londra,1,73513683
drake 21 savage,8,2076567740
ludwig goransson foudeqush,1,71095708
arijit singh sachinjigar,1,139836056
raye 070 shake,2,716645106
ed sheeran fireboy dml,1,261286503
katy perry alesso,1,226897599
travis scott metro boomin,1,110649992
john legend metro boomin,1,78139948
sza don toliver,1,94005786
sza phoebe bridgers,1,110073250
daddy yankee bad bunny,2,1108955074
james blake metro boomin,1,39666245
rosa walton hallie coggins,1,140430339
the weeknd gesaffelstein,2,1392204126
marlia mendona hugo  g,1,291709698
taeyang jimin,1,152850295
mc pedrinho pedro sampaio,1,208166039
jhope j cole,1,116599790
sech mora,1,184622518
ha sung woon jimin,1,240580042
lana del rey taylor swift,1,60350538
shawn mendes camila cabello,1,2484812918
marshmello khalid,1,295307001
ovy on the drums quevedo,1,209106362
aitana zzoilo,1,578207856
luude colin hay,1,252871192
mabel matiz mert demir,1,136689549
schrze dj r,1,130419412
arcangel bizarrap,1,100409613
semicenk dou ,1,43522589
the weeknd rosal,1,374706940
maroon 5 wiz khalifa,1,1479264469
jasiel nuez peso p,2,129083819
camila cabello ed sheeran,1,756907987
marshmello jonas brothers,1,651732901
iu agust d,1,95816024
nicki minaj ice spice,1,104992946
quevedo jhayco,1,61105704
rich the kid matu,1,77233241
bad bunny rauw alejandro,1,614555082
mc caverinha kayblack,1,71573339
grupo marca registrada junior h,1,287278853
gustavo mioto mari fernandez,1,222612678
tini lgante,1,200972675
sza travis scott,1,155653938
mc xenon os gemeos da putaria,1,93587665
ariana grande the weeknd,2,1740558591
israel  rodolffo mari fernandez,1,138517666
junior h eden mu,1,89933133
lil durk morgan wallen,1,46065667
metro boomin coi leray,1,70106975
kendrick lamar baby keem,1,560222750
peso pluma luis r conriquez,1,295152154
el chachito junior h,1,198275403
shae gill ali sethi,1,284249832
fuerza regida chino pacas,1,116334601
juan cruz toledo huilen toledo,1,1230855859
interplanetary criminal eliza rose,1,244585109
halsey suga,1,51985779
drake travis scott,1,593917618
abhijay sharma riar saab,1,71007139
tisto ava,1,656013912
israel  rodolffo ana castela,1,263453310
fuerza regida peso pluma,1,158950978
bad bunny the mar,1,319546754
dua lipa dababy,1,1802514301
blessd peso pluma,1,127026613
tony dize bad bunny,1,479655659
mc pedrinho dj 900,1,11956641
luis r conriquez la adictiva,1,323455692
ana castela agroplay,1,233801632
shakira rauw alejandro,1,606361689
taeyang lisa,1,76910644
mc livinho dj matt d,1,39709092
grupo marca registrada grupo frontera,1,147290338
becky g peso pluma,1,161460990
calvin harris dua lipa,1,1897517891
aventura bad bunny,1,673801126
robin schulz oliver tree,1,497225336
fuerza regida natanael cano,1,288101651
karol g quevedo,1,93438910
junior h peso pluma,2,410337753
cartel de santa la kelly,1,162887075
lady gaga bradley cooper,1,2159346687
baby rasta rauw alejandro,1,304079786
bizarrap tiago pzk,1,374191487
byor imanbek,1,383835984
kaliii kaliii,1,113509496
nile rodgers le sserafim,1,92035115
maldy karol g,1,322336177
coldplay bts,1,1061966512
wisin  yandel rosal,1,309483971
oscar maydon junior h,1,307370144
eminem dina rae,1,655466831
post malone doja cat,1,609293408
bad bunny tainy,1,1304313953
dennis mc kevin o chris,1,111947664
ozuna shakira,1,380726517
yuridia angela aguilar,1,236857112
myke towers quevedo,1,221409663
tini maria becerra,1,596152090
coolio lv,1,1357608774
the weeknd swedish house mafia,1,611994237
nicky youre dazy,1,652704649
bad bunny jhay cortez,2,2371592360
rihanna calvin harris,1,1235005533
the chainsmokers coldplay,1,2204080728
nicky jam feid,1,57945987
fuerza regida grupo frontera,1,367316268
j cole lil durk,1,144565150
natanael cano peso pluma,1,436027885
tisto tate m,1,325592432
karol g ovy on the drums,1,294352144
carin leon grupo frontera,1,2762
karol g becky g,1,716591492
james hype miggy dela rosa,1,462791599
em beihold stephen sanchez,1,600976848
billie eilish khalid,1,2355719893
nengo flow bad bunny,1,304118600
j balvin bad bunny,1,1435127549
kendrick lamar jay rock,1,1093605526
rauw alejandro bizarrap,2,121168605
the weeknd lana del rey,1,611700552
karol g romeo santos,1,266624541
yahritza y su esencia grupo frontera,1,188933502
sean paul feid,1,115010040
chencho corleone rauw alejandro,1,809306935
peso pluma grupo frontera,1,52294266
arcangel bad bunny,1,538115192
justin bieber the kid laroi,1,2665343922
don omar lucenzo,1,1279434863
feid mora,1,477033549
taiu milo j,1,248088961
bad bunny eladio carrion,1,250305248
bomba estreo bad b,1,1133865788
ozuna feid,1,674072710
feid young miko,1,335222234
bad bunny grupo frontera,1,505671438
bizarrap peso pluma,1,200647221
tainy bad bunny,1,61245289
pinkpantheress ice spice,1,156338624
sam smith kim petras,1,1230675890
chencho corleone bad bunny,1,1440757818
shakira bizarrap,1,721975598
marshmello manuel turizo,1,223633238
peso pluma yng lvcas,1,553634067
lost frequencies calum scott,1,972509632
bizarrap quevedo,1,1356565093
calvin harris ellie goulding,1,211050784
karol g shakira,1,618990393
eslabon armado peso pluma,1,725980112
rauw alejandro rosal,1,357925728
ayparia unxbected,1,58054811
rma selena g,1,899183384
post malone swae lee,1,2808096550
the weeknd daft punk,1,2565529693
bebe rexha david guetta,1,1109433169
dave central cee,1,183706234
latto jung kook,1,141381703
styrx utku inc thezth,1,90598517
bing crosby john scott trotter  his orchestra ken darby singers,1,395591396
perry como the fontane sisters mitchell ayres  his orchestra,1,295998468
pharrell williams nile rodgers daft punk,1,933815613
lauren spencer smith lauren spencer smith lauren spencer smith,1,349585590
the weeknd tyler the creator,1,88103848
young thug future gunna,1,311395144
skrillex flowdan fred again,1,78489819
sam smith calvin harris jessie reyez,1,103787664
kanye west alicia keys fivio foreign,1,107255472
don toliver future justin bieber,1,105062254
the anxiety willow tyler cole,1,530511203
bruno mars anderson paak silk sonic,2,1499431000
justin bieber daniel caesar giveon,1,1445941661
feid alejo robi,1,273005485
david guetta ella henderson becky hill,1,286739476
de la ghetto duki quevedo,1,178512385
kendrick lamar blxst amanda reifer,1,237351106
kendrick lamar sam dew baby keem,1,86176890
kendrick lamar ghostface killah summer walker,1,76831876
calvin harris dua lipa young thug,1,190625045
j balvin nio garcia bad bunny,1,528544703
david guetta shakira black eyed peas,1,240918092
future lil uzi vert metro boomin,1,37126685
kanye west lil durk cardi b,1,85924992
anitta tini becky g,1,121189256
ckay axel dj yo,1,540539717
snoop dogg bts benny blanco,1,219196651
drake dj khaled lil baby,1,170732845
drake project pat 21 savage,1,594482982
drake future young thug,1,489945871
kali uchis amaarae moliy,1,354065229
neiked mae muller polo g,1,421040617
dj escobar mc menor sg mc menor hr,1,174006928
imagine dragons league of legends arcane,1,1223481149
feid sech jhayco,1,133895612
anuel aa myke towers jhay cortez,1,177129919
olga merediz stephanie beatriz encanto  cast,1,184937148
drake travis scott 21 savage,1,191333656
dr dre 2pac roger,1,579395142
travis scott 21 savage metro boomin,1,195516622
mambo kingz dj luian anuel aa,2,197257295
xam gustah neo b,1,240684449
ak420 cris mj pailita,1,118381354
mc vitin da igrejinha mc tairon dj win,1,129314708
chris brown rvssian rauw alejandro,1,436695353
justin quiles lenny tavrez bl,1,393230256
matu wiu ,1,187772591
melody ana castela dj chris no beat,1,191873381
l7nnon dj biel do furduncinho bianca,1,176103902
intense ap dhillon gurinder gill,1,327498031
mc ryan sp love funk mc paiva zs,1,187701588
steve aoki tini la joaqui,1,120972253
arijit singh sachinjigar amitabha bhattacharya,1,64533040
pritam arijit singh amitabh bhattacharya,1,366599607
luciano aitch b,1,146223492
sped up nightcore arizonatears lil uzi vert,1,207033255
prezioso gabry ponte lumx,1,422691058
drake future tems,1,556585270
big one fmk ke personajes,1,142095275
aap rocky metro boomin roisee,1,94186466
future chris brown metro boomin,1,401036314
sech bad bunny mora,1,610045621
natanael cano gabito ballesteros peso pluma,1,463564958
bts jung kook fifa sound,1,323358833
migrantes lil cake nico valdi,1,231332117
drake wizkid kyla,1,2713922350
gabito ballesteros junior h peso pluma,1,86444842
julieta venegas bad bunny tainy,1,775542072
brray rauw alejandro lyanno,1,471819764
sog ryan castro peso pluma,1,11599388
sebastian yatra manuel turizo be,1,90839753
feid myke towers sky rompiendo,1,107753850
charlie puth bts jung kook,1,720434240
travis scott young thug metro boomin,1,276259178
ray dalton ryan lewis macklemore,1,1953533826
dua lipa elton john pnau,1,1605224506
future metro boomin don toliver,1,286400165
tyler the creator kali uchis,1,1047101291
david guetta annemarie coi leray,1,177740666
nicki minaj aqua ice spice,1,65156199
the weeknd madonna playboi carti,1,115364561
the weeknd 21 savage metro boomin,1,843957510
riton nightcrawlers mufasa  hypeman dopamine,1,863756573
lusa sonza mc frog dj gabriel do borel davi k,1,176290831
pharrell williams tyler the creator 21 savage,1,136676504
calvin harris halsey pharrell williams justin timberlake,1,123473120
charli xcx jax jones joel corry saweetie,1,427486004
fran c polima westcoast nickoog clk pablito pesadilla,1,159240673
dj lk da esccia tchakabum mc jhenny m,1,116144341
john lennon the harlem community choir the plastic ono band yoko ono,1,460492795
lit killah maria becerra tiago pzk nicki nicole,1,236940480
nengo flow anuel aa chris jedi chencho corleone,1,333146475
swae lee lil wayne offset metro boomin,1,86773632
veigh bvga beatz supernova ent prod malax,1,81102253
imagine dragons league of legends jid arcane,1,1223481149
swae lee a boogie wit da hoodie metro boomin nav,1,109276132
feid mora saiko quevedo,1,57312735
de la ghetto feid polima westcoast paloma mami pailita,1,279717388
wizkid toian metro boomin don toliver beam,1,32761689
sachinjigar shadab faridi altamash faridi amitabh bhattacharya varun jain,1,54225632
kodak black nle choppa muni long jvke jimin,1,133753727
duki nicki nicole cris mj standly stars music chile,1,223582566
jordan fisher josh levi finneas oconnell 4town from disney and pixars turning red topher ngo grayson vill,1,120847157
vishalshekhar shilpa rao caralisa monteiro kumaar vishal dadlani shekhar ravjiani,1,140187018
arijit singh vishal dadlani sukriti kakar vishalshekhar shekhar ravjiani kumaar,1,1365184
adassa mauro castillo stephanie beatriz encanto  cast rhenzy feliz diane guerrero carolina gaitan,1,432719968
quevedo la pantera juseph cruz cafun bjo abhir hathi,1,245400167
arcangel de la ghetto justin quiles lenny tavrez sech dalex dimelo flow rich music,1,223319934
big one duki lit killah maria becerra fmk rusherking emilia tiago pzk,1,123122413
